name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Garcia Street Urban Farm,"218 Garcia St, San Antonio, TX 78203, USA",29.4177657,-98.4442612,https://www.alamo.edu/sac/about-sac/college-offices/eco-centro/eco-centro-garcia-street-urban-farm/,"establishment, point_of_interest",ChIJxVZ3_PVZXIYRo0moK73xFaU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexar County AgriLife Urban Farm,"1615 Sherman, San Antonio, TX 78202, USA",29.4343668,-98.4531768,https://bexar-tx.tamu.edu/contact/,"establishment, local_government_office, point_of_interest",ChIJW5CQT1v1XIYRcC0zE8Sq9PQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Farmers Market,"312 Pearl Pkwy, San Antonio, TX 78215, USA",29.4423775,-98.4802075,https://atpearl.com/weekend-market/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJBeAiv_b1XIYRjLMDUnA7fG4,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Farmer's Market Association,"100 Jackson Keller Rd, San Antonio, TX 78216, USA",29.493349,-98.4947833,http://sanantoniofarmersmarket.org/,"establishment, point_of_interest",ChIJI_ovSbz1XIYRy79Dqml41kQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milberger's Landscaping And Nursery,"3920 N Loop 1604 E, San Antonio, TX 78247, USA",29.5998934,-98.4161125,http://www.milbergernursery.com/,"establishment, point_of_interest",ChIJRSaQ4uiLXIYRmq-675nup70,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make Ready Market,"203 8th St, San Antonio, TX 78215, USA",29.4332211,-98.4834989,https://makereadymarket.com/,"establishment, food, point_of_interest, restaurant",ChIJUUzO9s31XIYRBY6jm8yL1gU,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicho Boys Fruit Market,"1631 S Laredo St, San Antonio, TX 78207, USA",29.4116504,-98.5103549,http://www.chichoboys.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJ06Y1FsZYXIYRmFdm2lTGpk8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsewhere Garden Bar & Kitchen,"103 E Jones Ave, San Antonio, TX 78215, USA",29.4362751,-98.480581,http://www.elsewheretexas.com/,"bar, establishment, food, point_of_interest, restaurant",ChIJ6Yjw6Iz1XIYRKShmHy0Qz_U,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Botanical Garden,"555 Funston Pl, San Antonio, TX 78209, USA",29.4576699,-98.4574396,https://sabgtx.org/,"establishment, point_of_interest, tourist_attraction",ChIJZeWSYrz1XIYR7_h51WlHYSQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Heights Farmers Market,"255 E Basse Rd #130, San Antonio, TX 78209, USA",29.4955927,-98.4812173,https://alamoheightsfm.com/,"establishment, point_of_interest",ChIJVRHPLV71XIYRd2kWqJJstTI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
